Model,Data,Type,Language Model,Language,QAAlignedF1Score (BERTScore),QAAlignedF1Score (MoverScore),QAAlignedPrecision (BERTScore),QAAlignedPrecision (MoverScore),QAAlignedRecall (BERTScore),QAAlignedRecall (MoverScore)
lmqg/bart-base-squad-qag,lmqg/qg_squad,End2end QAG,facebook/bart-base,English,84.49,57.46,85.64,60.01,83.38,55.26
lmqg/bart-base-squad-qg,lmqg/qg_squad,Pipeline QAG,facebook/bart-base,English,92.84,64.24,92.75,64.46,92.95,64.11
lmqg/bart-large-squad-qag,lmqg/qg_squad,End2end QAG,facebook/bart-large,English,92.16,63.79,93.21,66.71,91.17,61.32
lmqg/bart-large-squad-qg,lmqg/qg_squad,Pipeline QAG,facebook/bart-large,English,93.23,64.76,93.13,64.98,93.35,64.63
lmqg/t5-base-squad-qag,lmqg/qg_squad,End2end QAG,t5-base,English,93.34,65.78,93.18,65.96,93.51,65.68
lmqg/t5-base-squad-qg-ae,lmqg/qg_squad,Multitask QAG,t5-base,English,92.53,64.23,92.35,64.33,92.74,64.23
lmqg/t5-base-squad-qg,lmqg/qg_squad,Pipeline QAG,t5-base,English,92.75,64.36,92.59,64.45,92.93,64.35
lmqg/t5-large-squad-qag,lmqg/qg_squad,End2end QAG,t5-large,English,93.45,66.05,93.34,66.34,93.57,65.84
lmqg/t5-large-squad-qg-ae,lmqg/qg_squad,Multitask QAG,t5-large,English,92.87,64.67,92.72,64.82,93.04,64.63
lmqg/t5-large-squad-qg,lmqg/qg_squad,Pipeline QAG,t5-large,English,92.97,64.72,92.83,64.87,93.14,64.66
lmqg/t5-small-squad-qag,lmqg/qg_squad,End2end QAG,t5-small,English,92.76,64.59,92.87,65.3,92.68,63.99
lmqg/t5-small-squad-qg-ae,lmqg/qg_squad,Multitask QAG,t5-small,English,91.74,63.23,91.49,63.26,92.01,63.29
lmqg/t5-small-squad-qg,lmqg/qg_squad,Pipeline QAG,t5-small,English,92.26,63.83,92.07,63.92,92.48,63.82
lmqg/mbart-large-cc25-frquad-qag,lmqg/qg_frquad,End2end QAG,facebook/mbart-large-cc25,French,77.75,53.5,76.19,52.57,79.45,54.55
lmqg/mbart-large-cc25-frquad-qg-ae,lmqg/qg_frquad,Multitask QAG,facebook/mbart-large-cc25,French,77.72,51.65,76.9,51.15,78.58,52.16
lmqg/mbart-large-cc25-frquad-qg,lmqg/qg_frquad,Pipeline QAG,facebook/mbart-large-cc25,French,75.55,51.75,74.04,51.03,77.16,52.52
lmqg/mt5-base-frquad-qag,lmqg/qg_frquad,End2end QAG,google/mt5-base,French,78.28,51.66,78.36,51.73,78.21,51.59
lmqg/mt5-base-frquad-qg-ae,lmqg/qg_frquad,Multitask QAG,google/mt5-base,French,79.16,53.9,76.69,52.57,81.87,55.36
lmqg/mt5-base-frquad-qg,lmqg/qg_frquad,Pipeline QAG,google/mt5-base,French,68.59,47.87,67.59,47.42,69.69,48.36
lmqg/mt5-small-frquad-qag,lmqg/qg_frquad,End2end QAG,google/mt5-small,French,77.23,52.36,76.76,52.19,77.74,52.54
lmqg/mt5-small-frquad-qg-ae,lmqg/qg_frquad,Multitask QAG,google/mt5-small,French,79.7,54.22,77.29,52.84,82.36,55.76
lmqg/mt5-small-frquad-qg,lmqg/qg_frquad,Pipeline QAG,google/mt5-small,French,79.72,53.94,77.58,52.7,82.06,55.32
lmqg/mbart-large-cc25-dequad-qag,lmqg/qg_dequad,End2end QAG,facebook/mbart-large-cc25,German,69.25,50.71,70.69,51.81,68.05,49.78
lmqg/mbart-large-cc25-dequad-qg-ae,lmqg/qg_dequad,Multitask QAG,facebook/mbart-large-cc25,German,82.49,54.84,81.39,54.58,83.67,55.13
lmqg/mbart-large-cc25-dequad-qg,lmqg/qg_dequad,Pipeline QAG,facebook/mbart-large-cc25,German,0,0,0,0,0,0
lmqg/mt5-base-dequad-qag,lmqg/qg_dequad,End2end QAG,google/mt5-base,German,0.1,0.1,0.1,0.1,0.1,0.1
lmqg/mt5-base-dequad-qg-ae,lmqg/qg_dequad,Multitask QAG,google/mt5-base,German,6.11,4.24,6.3,4.34,5.95,4.15
lmqg/mt5-base-dequad-qg,lmqg/qg_dequad,Pipeline QAG,google/mt5-base,German,76.86,52.96,76.28,52.93,77.55,53.06
lmqg/mt5-small-dequad-qag,lmqg/qg_dequad,End2end QAG,google/mt5-small,German,0,0,0,0,0,0
lmqg/mt5-small-dequad-qg-ae,lmqg/qg_dequad,Multitask QAG,google/mt5-small,German,80.02,53.99,78.91,53.77,81.23,54.27
lmqg/mt5-small-dequad-qg,lmqg/qg_dequad,Pipeline QAG,google/mt5-small,German,81.19,54.3,80,54.04,82.46,54.59
lmqg/mbart-large-cc25-itquad-qag,lmqg/qg_itquad,End2end QAG,facebook/mbart-large-cc25,Italian,72.96,51.25,74.2,52.44,71.83,50.21
lmqg/mbart-large-cc25-itquad-qg-ae,lmqg/qg_itquad,Multitask QAG,facebook/mbart-large-cc25,Italian,82.65,56.14,81.06,55.22,84.34,57.13
lmqg/mbart-large-cc25-itquad-qg,lmqg/qg_itquad,Pipeline QAG,facebook/mbart-large-cc25,Italian,40.13,27.8,40.43,28.09,39.88,27.54
lmqg/mt5-base-itquad-qag,lmqg/qg_itquad,End2end QAG,google/mt5-base,Italian,79.93,53.8,81.06,54.64,78.87,53.02
lmqg/mt5-base-itquad-qg-ae,lmqg/qg_itquad,Multitask QAG,google/mt5-base,Italian,81.98,56.35,81.19,56,82.83,56.75
lmqg/mt5-base-itquad-qg,lmqg/qg_itquad,Pipeline QAG,google/mt5-base,Italian,81.68,55.83,81.25,55.68,82.16,56.01
lmqg/mt5-small-itquad-qag,lmqg/qg_itquad,End2end QAG,google/mt5-small,Italian,79.41,54.15,81.16,55.49,77.79,52.94
lmqg/mt5-small-itquad-qg-ae,lmqg/qg_itquad,Multitask QAG,google/mt5-small,Italian,81.81,56.02,81.17,55.76,82.51,56.32
lmqg/mt5-small-itquad-qg,lmqg/qg_itquad,Pipeline QAG,google/mt5-small,Italian,81.63,55.85,81.04,55.6,82.28,56.14
lmqg/mbart-large-cc25-jaquad-qag,lmqg/qg_jaquad,End2end QAG,facebook/mbart-large-cc25,Japanese,72.68,51.93,71.67,51.31,73.79,52.62
lmqg/mbart-large-cc25-jaquad-qg-ae,lmqg/qg_jaquad,Multitask QAG,facebook/mbart-large-cc25,Japanese,80.55,55.95,77.41,53.7,84.03,58.56
lmqg/mbart-large-cc25-jaquad-qg,lmqg/qg_jaquad,Pipeline QAG,facebook/mbart-large-cc25,Japanese,76.7,53.64,74.75,52.32,78.87,55.14
lmqg/mt5-base-jaquad-qag,lmqg/qg_jaquad,End2end QAG,google/mt5-base,Japanese,74.52,52.08,74.36,52.01,74.71,52.16
lmqg/mt5-base-jaquad-qg-ae,lmqg/qg_jaquad,Multitask QAG,google/mt5-base,Japanese,80.35,56.23,77.28,54.02,83.79,58.81
lmqg/mt5-base-jaquad-qg,lmqg/qg_jaquad,Pipeline QAG,google/mt5-base,Japanese,80.31,56.36,77.14,54,83.89,59.12
lmqg/mt5-small-jaquad-qag,lmqg/qg_jaquad,End2end QAG,google/mt5-small,Japanese,58.35,39.19,58.34,39.21,58.38,39.17
lmqg/mt5-small-jaquad-qg-ae,lmqg/qg_jaquad,Multitask QAG,google/mt5-small,Japanese,80.51,56.28,80.51,56.28,80.51,56.28
lmqg/mt5-small-jaquad-qg,lmqg/qg_jaquad,Pipeline QAG,google/mt5-small,Japanese,79.78,55.85,76.84,53.8,83.06,58.22
lmqg/mbart-large-cc25-koquad-qag,lmqg/qg_koquad,End2end QAG,facebook/mbart-large-cc25,Korean,80.71,81.75,78.58,79.01,83.05,84.86
lmqg/mbart-large-cc25-koquad-qg-ae,lmqg/qg_koquad,Multitask QAG,facebook/mbart-large-cc25,Korean,80.81,83.42,77.64,79.08,84.32,88.44
lmqg/mbart-large-cc25-koquad-qg,lmqg/qg_koquad,Pipeline QAG,facebook/mbart-large-cc25,Korean,80.64,82.74,77.67,78.99,83.95,87.04
lmqg/mt5-base-koquad-qag,lmqg/qg_koquad,End2end QAG,google/mt5-base,Korean,76.88,77.95,77.1,78.29,76.69,77.66
lmqg/mt5-base-koquad-qg-ae,lmqg/qg_koquad,Multitask QAG,google/mt5-base,Korean,80.28,81.97,77.03,78.1,83.91,86.43
lmqg/mt5-base-koquad-qg,lmqg/qg_koquad,Pipeline QAG,google/mt5-base,Korean,77.26,77.51,76.37,76.26,78.25,78.95
lmqg/mt5-small-koquad-qag,lmqg/qg_koquad,End2end QAG,google/mt5-small,Korean,74.23,75.06,74.29,75.14,74.2,75.04
lmqg/mt5-small-koquad-qg-ae,lmqg/qg_koquad,Multitask QAG,google/mt5-small,Korean,80.36,82.55,77.34,78.93,83.72,86.69
lmqg/mt5-small-koquad-qg,lmqg/qg_koquad,Pipeline QAG,google/mt5-small,Korean,80.52,82.95,77.56,79.39,83.8,87.02
lmqg/mbart-large-cc25-ruquad-qag,lmqg/qg_ruquad,End2end QAG,facebook/mbart-large-cc25,Russian,77.36,56.1,74.97,54.4,80.05,58.11
lmqg/mbart-large-cc25-ruquad-qg-ae,lmqg/qg_ruquad,Multitask QAG,facebook/mbart-large-cc25,Russian,60.14,42.22,58.32,41.05,62.21,43.58
lmqg/mbart-large-cc25-ruquad-qg,lmqg/qg_ruquad,Pipeline QAG,facebook/mbart-large-cc25,Russian,79.14,56.25,75.88,54.01,82.85,58.93
lmqg/mt5-base-ruquad-qag,lmqg/qg_ruquad,End2end QAG,google/mt5-base,Russian,74.63,54.24,73.97,53.91,75.38,54.65
lmqg/mt5-base-ruquad-qg-ae,lmqg/qg_ruquad,Multitask QAG,google/mt5-base,Russian,80.21,57.17,76.48,54.4,84.49,60.55
lmqg/mt5-base-ruquad-qg,lmqg/qg_ruquad,Pipeline QAG,google/mt5-base,Russian,77.03,55.61,73.44,53.27,81.17,58.39
lmqg/mt5-small-ruquad-qag,lmqg/qg_ruquad,End2end QAG,google/mt5-small,Russian,52.95,38.59,52.86,38.57,53.06,38.62
lmqg/mt5-small-ruquad-qg-ae,lmqg/qg_ruquad,Multitask QAG,google/mt5-small,Russian,79.74,56.69,76.15,54.11,83.83,59.79
lmqg/mt5-small-ruquad-qg,lmqg/qg_ruquad,Pipeline QAG,google/mt5-small,Russian,76.96,55.53,73.41,53.24,81.05,58.25
lmqg/mbart-large-cc25-esquad-qag,lmqg/qg_esquad,End2end QAG,facebook/mbart-large-cc25,Spanish,78.8,54,76.59,52.57,81.21,55.63
lmqg/mbart-large-cc25-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,facebook/mbart-large-cc25,Spanish,81.13,54.86,77.75,52.82,84.91,57.16
lmqg/mbart-large-cc25-esquad-qg,lmqg/qg_esquad,Pipeline QAG,facebook/mbart-large-cc25,Spanish,79.26,54.68,76.78,53.17,81.98,56.37
lmqg/mt5-base-esquad-qag,lmqg/qg_esquad,End2end QAG,google/mt5-base,Spanish,78.96,54.3,78.66,54.21,79.31,54.42
lmqg/mt5-base-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,google/mt5-base,Spanish,79.67,54.82,77.14,53.27,82.44,56.56
lmqg/mt5-base-esquad-qg,lmqg/qg_esquad,Pipeline QAG,google/mt5-base,Spanish,80.79,55.25,78.45,53.7,83.34,56.99
lmqg/mt5-small-esquad-qag,lmqg/qg_esquad,End2end QAG,google/mt5-small,Spanish,78.12,53.92,78,53.93,78.27,53.93
lmqg/mt5-small-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,google/mt5-small,Spanish,79.06,54.49,76.46,52.96,81.94,56.21
lmqg/mt5-small-esquad-qg,lmqg/qg_esquad,Pipeline QAG,google/mt5-small,Spanish,79.89,54.82,77.46,53.31,82.56,56.52