model,language model,training data,test data,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,BERTScore,MoverScore
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),54.07,37.62,28.18,21.65,23.83,48.95,90.01,62.75
[`lmqg/mt5-small-ruquad-qg`](https://huggingface.co/lmqg/mt5-small-ruquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),31.03,24.58,19.92,16.31,26.39,31.39,84.27,62.49
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),0.89,0.07,0.0,0.0,1.78,0.99,70.89,49.1
[`lmqg/mt5-small-jaquad-qg`](https://huggingface.co/lmqg/mt5-small-jaquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),56.34,44.28,36.31,30.49,29.03,50.88,80.87,58.67
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),3.62,0.24,0.06,0.0,0.51,6.08,66.08,46.53
[`lmqg/mt5-small-itquad-qg`](https://huggingface.co/lmqg/mt5-small-itquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),22.78,14.93,10.34,7.37,17.57,21.93,80.8,56.79
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),5.63,2.4,1.12,0.54,5.89,5.01,72.6,50.23
[`lmqg/mt5-small-koquad-qg`](https://huggingface.co/lmqg/mt5-small-koquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),25.31,18.59,13.98,10.57,27.52,25.64,82.89,82.49
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),0.05,0.01,0.0,0.0,0.73,0.06,66.34,45.86
[`lmqg/mt5-small-esquad-qg`](https://huggingface.co/lmqg/mt5-small-esquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),26.03,17.75,12.88,9.61,22.71,24.62,84.07,59.06
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),5.7,2.42,1.15,0.59,6.02,5.21,74.94,50.62
[`lmqg/mt5-small-dequad-qg`](https://huggingface.co/lmqg/mt5-small-dequad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),10.18,4.02,1.6,0.43,11.47,10.08,79.9,54.64
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),1.56,0.13,0.0,0.0,4.81,1.56,73.53,50.37
[`lmqg/mt5-small-frquad-qg`](https://huggingface.co/lmqg/mt5-small-frquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),29.26,17.56,12.03,8.55,17.51,28.56,80.71,56.5
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),15.64,6.16,3.13,1.71,8.24,15.84,72.91,50.96
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),55.82,39.49,29.78,23.03,25.18,50.67,90.23,63.6
[`lmqg/mt5-base-ruquad-qg`](https://huggingface.co/lmqg/mt5-base-ruquad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),33.04,26.31,21.42,17.63,28.48,33.02,85.82,64.56
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),3.21,0.79,0.3,0.12,2.35,7.85,25.93,46.08
[`lmqg/mt5-base-jaquad-qg`](https://huggingface.co/lmqg/mt5-base-jaquad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),57.89,46.06,38.25,32.54,30.58,52.67,81.77,59.68
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),1.23,0.35,0.15,0.08,1.77,6.17,19.8,45.59
[`lmqg/mt5-base-itquad-qg`](https://huggingface.co/lmqg/mt5-base-itquad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),23.29,15.37,10.72,7.7,18.0,22.51,81.16,57.11
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),10.72,2.54,0.9,0.39,3.64,12.55,40.93,47.18
[`lmqg/mt5-base-koquad-qg`](https://huggingface.co/lmqg/mt5-base-koquad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),28.54,21.05,15.92,12.18,29.62,28.57,84.52,83.36
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),6.72,1.99,0.87,0.43,3.05,10.23,31.82,46.64
[`lmqg/mt5-base-esquad-qg`](https://huggingface.co/lmqg/mt5-base-esquad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),26.73,18.46,13.5,10.15,23.43,25.45,84.47,59.62
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),17.52,3.92,1.28,0.45,4.96,17.95,60.29,48.67
[`lmqg/mt5-base-dequad-qg`](https://huggingface.co/lmqg/mt5-base-dequad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),10.85,4.61,2.06,0.87,13.65,11.1,80.39,55.73
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),0.04,0.01,0.0,0.0,1.01,3.4,11.0,44.95
[`lmqg/mt5-base-frquad-qg`](https://huggingface.co/lmqg/mt5-base-frquad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),25.06,13.73,8.93,6.14,15.55,25.88,77.81,54.58
[`lmqg/mt5-base-squad-qg`](https://huggingface.co/lmqg/mt5-base-squad-qg),[`mt5-base`](https://huggingface.co/mt5-base),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),0.52,0.12,0.04,0.02,1.44,4.76,16.28,45.3
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),56.0,39.41,29.76,23.03,25.1,50.58,90.36,63.63
[`lmqg/mbart-large-cc25-ruquad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-ruquad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),35.25,28.1,22.87,18.8,29.3,34.18,87.18,65.88
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),4.9,1.27,0.44,0.18,2.65,8.34,26.19,46.09
[`lmqg/mbart-large-cc25-jaquad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-jaquad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),57.05,45.45,37.81,32.16,29.97,52.95,82.26,59.88
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),1.2,0.32,0.12,0.06,1.74,6.11,19.89,45.51
[`lmqg/mbart-large-cc25-itquad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-itquad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),22.51,14.62,10.06,7.13,17.97,21.69,80.63,56.84
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),11.62,3.0,1.1,0.48,3.84,13.25,41.46,47.28
[`lmqg/mbart-large-cc25-koquad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-koquad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),26.92,19.57,14.52,10.92,30.23,27.76,83.89,82.95
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),6.89,1.95,0.8,0.38,3.06,10.34,31.67,46.59
[`lmqg/mbart-large-cc25-esquad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-esquad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),25.02,16.93,12.28,9.18,22.95,24.26,83.58,58.91
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),19.32,4.52,1.48,0.57,5.27,18.99,60.73,48.76
[`lmqg/mbart-large-cc25-dequad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-dequad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),10.96,4.48,1.91,0.75,13.71,11.19,80.77,55.88
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),0.06,0.01,0.01,0.0,1.05,3.4,11.05,44.94
[`lmqg/mbart-large-cc25-frquad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-frquad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),14.36,3.58,1.45,0.72,7.78,16.4,71.48,50.35
[`lmqg/mbart-large-cc25-squad-qg`](https://huggingface.co/lmqg/mbart-large-cc25-squad-qg),[`facebook/mbart-large-cc25`](https://huggingface.co/facebook/mbart-large-cc25),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),0.62,0.14,0.04,0.02,1.55,5.13,16.47,45.35
